Disease,Inst_1,Inst_2,Inst_3
Osteoarthristis,Diagnose with clinical assessment and confirm with X-ray showing joint space narrowing and osteophytes.,Start NSAIDs for pain management and recommend physical therapy.,Consider joint injections or orthopedic referral for severe cases.
Arthritis,Evaluate joint pain and stiffness; order inflammatory markers and imaging.,Begin treatment with NSAIDs; consider DMARDs if autoimmune etiology suspected.,Refer to rheumatology for further management and long-term care.
(vertigo) Paroymsal  Positional Vertigo,Confirm diagnosis with Dix-Hallpike maneuver.,Perform canalith repositioning maneuvers (Epley maneuver).,Educate on recurrence and safety precautions; follow-up if persistent.
Hypoglycemia,Check blood glucose level immediately when symptoms appear.,Administer oral glucose or IV dextrose if unconscious.,Adjust diabetic regimen to prevent recurrence; educate on symptom recognition.
Hyperthyroidism,Confirm with suppressed TSH and elevated T3/T4; consider thyroid scan.,"Start beta-blockers for symptom control and antithyroid drugs (e.g., methimazole).",Consider radioactive iodine therapy or surgery in refractory cases.
Migraine,Diagnose based on clinical criteria; rule out secondary causes with imaging if red flags exist.,Use NSAIDs or triptans for acute attacks; start prophylactic treatment if frequent.,Advise lifestyle modifications and trigger avoidance.
Cervical spondylosis,Diagnose with neck X-ray or MRI for nerve root compression.,"Initiate physical therapy, NSAIDs, and cervical collar if needed.",Refer to neurosurgery if there is myelopathy or failed conservative therapy.
Paralysis (brain hemorrhage),Urgent CT scan to confirm hemorrhagic stroke; assess Glasgow Coma Scale.,"Admit to ICU, manage airway, and control blood pressure aggressively.",Start rehabilitation early and refer to neurology and physiotherapy.
Jaundice,"Evaluate liver function tests, bilirubin levels, and abdominal ultrasound.","Treat underlying cause (e.g., hepatitis, obstruction).",Monitor liver enzymes and refer to hepatology if unresolved.
Malaria,Confirm diagnosis with thick and thin blood smears or RDTs.,Administer ACT or IV artesunate for severe cases.,Monitor parasitemia and treat complications.
Chicken pox,Diagnose clinically by vesicular rash with centripetal distribution.,Provide supportive care; give acyclovir if immunocompromised or adult.,Isolate patient and monitor for complications like pneumonia.
